MID,Nom,Adresse1,Adresse2,CP,Ville,Telephone
1101021,ARNOLDI BRUNO,LA TABATIERE,3 PLACE DE LA VICTOIRE,1300,BELLEY,479815290
1107755,GOY CATHERINE,TABAC - LOTO,GRANDE RUE,1270,COLIGNY,474301324
1109128,DEPRES DIDIER,C C  SUPER U,16 COURS DE LA PORTELLE,1120,MONTLUEL,478065367
1111327,GREFF OLIVIER,SARL MDP DIFFUSION,4 RUE DE LYON,1630,ST GENIS POUILLY,450421428
1114435,BOMEL MARC,PRESSE - PAPETERIE SARL RAYMA DIF,11 RUE JEAN MIGUET,1110,HAUTEVILLE LOMPNES,474353009
1116019,CASTALDI ROSA,LE P TIT MEGOT,17 GRANDE RUE,1140,THOISSEY,474040942
1118001,PERRIER DIDIER,TABAC - CADEAUX - LOTO,116 ROUTE NATIONALE,1110,HAUTEVILLE LOMPNES,964187925
1120462,CRETIN ROLAND,TABAC,8 RUE DU PALAIS,1600,TREVOUX,474001026
1125832,MORINIERE PATRICK,TABAC A MA CAMPAGNE,400 RUE JEAN MARIE VIANNEY,1480,ARS S/ FORMANS,474007189
1126278,GARNIER ANNE MARIE,TABAC - PRESSE,RUE DE LA DOMBE,1240,ST PAUL DE VARAX,474425491
1127262,MERCKLEN PATRICK,TABAC-PRESSE ALIMENTATION VIVAL,ROUTE DE BELLEGARDE,1200,CHATILLON EN MICHAILLE,0
1131763,BECUWE DOMINIQUE,TABAC-PRESSE,4 PLACE DE LA GARE,1250,VILLEREVERSURE,474306652
1132204,POINT YVES,BAR - TABAC - PRESSE,4 PLACE DU CENTRE,1250,ST JUST,474451570
1132586,RACLET BERNARD,SNC TABAC LE BUGISTE,42 RUE ROGER VAILLANT,1500,AMBERIEU EN BUGEY,962356793
1135734,RONGER THIERRY,SARL EPICERIE STEPHANOISE,5 CARREFOUR DU CENTRE,1140,ST ETIENNE SUR CHALARONNE,474240314
1136579,YILDIZ NUTHU,BRASSERIE DU CHEMIN DE FER-TABAC,38 RUE MICHELET,1100,OYONNAX,474813951
1138102,BONDURAND JEAN MARC,BAR - TABAC L'INFORMEL,AU BOURG,1560,ST NIZIER LE BOUCHOUX,474529711
1138541,FONTAINE,TABAC - PRESSE - LOTO,28 RUE CLAUDE MOREL,1540,VONNAS,474500329
1139176,MOLLAS JOELLE,PLACE DE LA MAIRIE,,1150,CHAZEY SUR AIN,474619427
1139399,COULON FABRICE,TABAC-PRESSE-LOTO SNC LE CREDO,CENTRE CIAL DU CREDO,1200,BELLEGARDE SUR VALSERINE,962273149
1140778,CHAMINAS JOELLE,TABAC - PRESSE - LOTO,23 RUE BICHAT,1450,PONCIN,474372311
1141096,SAUVET MARIE FRANCE,TABAC AU RENDEZ VOUS DES AMIS,LE VILLAGE,1960,SERVAS,474527513
1141098,BUELLET MARIELLE,TABAC EPICERIE,ROUTE DE NEUVILLE,1250,HAUTECOURT ROMANECHE,0
1141247,CLAIR JEAN-FRANCOIS,TABAC - PAPETERIE,64 GRANDE RUE,1851,MARBOZ,474510468
1141704,PANETTO DANIEL,MAG PRESSE,CENTRE CIAL INTERMARCHE,1500,AMBERIEU EN BUGEY,474468903
1141803,JOLY ELIANE,EPICERIE TABAC QUINCAILLERIE,LE BOURG,1560,ST JEAN SUR REYSSOUZE,474526526
1142680,LECHEVIN VERONIQUE,TABAC LE CALUMET,19 PLACE DE L EGLISE,1220,DIVONNE LES BAINS,450200326
